         15395641 function calls (15388763 primitive calls) in 44.600 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 arraysetops.py:27(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:140(_lazy_call)
  528/270    0.001    0.000    0.002    0.000 sre_parse.py:167(getwidth)
        1    0.000    0.000    0.002    0.002 traceback.py:189(format_stack)
  285/204    0.000    0.000    0.002    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.002    0.002 internal_rpc_utils.py:3(<module>)
        1    0.000    0.000    0.002    0.002 _type_aliases.py:24(<module>)
        1    0.000    0.000    0.002    0.002 polynomial.py:57(<module>)
      134    0.001    0.000    0.002    0.000 abc.py:135(<setcomp>)
        1    0.000    0.000    0.002    0.002 subprocess.py:834(__init__)
     3647    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      5/4    0.000    0.000    0.001    0.000 __init__.py:132(reload)
        1    0.001    0.001    0.001    0.001 {built-in method torch._C._c10d_init}
        1    0.000    0.000    0.001    0.001 subprocess.py:1428(_execute_child)
      798    0.001    0.000    0.001    0.000 {built-in method torch._C._get_tracing_state}
      171    0.001    0.000    0.001    0.000 tensor.py:411(<lambda>)
       48    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.001    0.001 traceback.py:196(extract_stack)
       48    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1301(path_hook_for_FileFinder)
        1    0.000    0.000    0.001    0.001 std.py:9(<module>)
        1    0.000    0.000    0.001    0.001 traceback.py:313(extract)
      182    0.001    0.000    0.001    0.000 enum.py:51(__setitem__)
        2    0.000    0.000    0.001    0.001 linear_relu.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        2    0.000    0.000    0.001    0.001 __init__.py:2(<module>)
     1285    0.001    0.000    0.001    0.000 sre_parse.py:157(__getitem__)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
        1    0.000    0.000    0.001    0.001 connection.py:10(<module>)
      459    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__init__)
        5    0.000    0.000    0.001    0.000 utils.py:1(<module>)
      472    0.001    0.000    0.001    0.000 {built-in method builtins.any}
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:737(create_module)
        1    0.000    0.000    0.001    0.001 _six.py:21(<module>)
